Unique ID,Name,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value
741006,Nitrogen dioxide (NO2),UHF42,410,Rockaways,Annual Average 2021,1/1/21,11.41
550028,Nitrogen dioxide (NO2),CD,201,Mott Haven and Melrose (CD1),Annual Average 2017,1/1/17,21.25
336723,Nitrogen dioxide (NO2),CD,101,Financial District (CD1),Winter 2014-15,12/1/14,30.4
741126,Nitrogen dioxide (NO2),CD,101,Financial District (CD1),Annual Average 2021,1/1/21,21.61
165858,Nitrogen dioxide (NO2),CD,102,Greenwich Village and Soho (CD2),Winter 2010-11,12/1/10,36.79
166625,Nitrogen dioxide (NO2),CD,102,Greenwich Village and Soho (CD2),Summer 2009,6/1/09,31.63
167746,Nitrogen dioxide (NO2),CD,102,Greenwich Village and Soho (CD2),Annual Average 2013,12/1/12,29.27
336852,Nitrogen dioxide (NO2),CD,402,Woodside and Sunnyside (CD2),Winter 2014-15,12/1/14,26.28
741255,Nitrogen dioxide (NO2),CD,402,Woodside and Sunnyside (CD2),Annual Average 2021,1/1/21,20.21
171599,Nitrogen dioxide (NO2),UHF34,203,Bedford Stuyvesant - Crown Heights,Winter 2009-10,12/1/09,28.86
549907,Nitrogen dioxide (NO2),UHF34,204,East New York,Summer 2017,6/1/17,13.39
602850,Nitrogen dioxide (NO2),UHF34,204,East New York,Summer 2018,6/1/18,11.97
171595,Nitrogen dioxide (NO2),UHF34,103,Fordham - Bronx Pk,Winter 2009-10,12/1/09,23.87
549895,Nitrogen dioxide (NO2),UHF34,104,Pelham - Throgs Neck,Summer 2017,6/1/17,14.14
643458,Nitrogen dioxide (NO2),UHF34,201,Greenpoint,Winter 2018-19,12/1/18,26.69
211654,Nitrogen dioxide (NO2),UHF34,101,Kingsbridge - Riverdale,Summer 2014,6/1/14,13.55
643446,Nitrogen dioxide (NO2),UHF34,101,Kingsbridge - Riverdale,Winter 2018-19,12/1/18,18.32
211655,Nitrogen dioxide (NO2),UHF34,102,Northeast Bronx,Summer 2014,6/1/14,15.4
643449,Nitrogen dioxide (NO2),UHF34,102,Northeast Bronx,Winter 2018-19,12/1/18,19.11
211674,Nitrogen dioxide (NO2),UHF34,402,West Queens,Summer 2014,6/1/14,16.64
643506,Nitrogen dioxide (NO2),UHF34,402,West Queens,Winter 2018-19,12/1/18,24.36
172662,Nitrogen dioxide (NO2),UHF34,301,Washington Heights,Annual Average 2011,12/1/10,25.56
667399,Nitrogen dioxide (NO2),UHF34,301,Washington Heights,Annual Average 2020,1/1/20,18.08
175885,Nitrogen dioxide (NO2),UHF42,107,Hunts Point - Mott Haven,Summer 2009,6/1/09,23
176683,Nitrogen dioxide (NO2),UHF42,107,Hunts Point - Mott Haven,Annual Average 2013,12/1/12,21.54
740913,Nitrogen dioxide (NO2),UHF42,107,Hunts Point - Mott Haven,Annual Average 2021,1/1/21,18.52
175892,Nitrogen dioxide (NO2),UHF42,207,East Flatbush - Flatbush,Summer 2009,6/1/09,21.39
336531,Nitrogen dioxide (NO2),UHF42,207,East Flatbush - Flatbush,Winter 2014-15,12/1/14,25.7
175347,Nitrogen dioxide (NO2),UHF42,208,Canarsie - Flatlands,Winter 2010-11,12/1/10,26.24
175913,Nitrogen dioxide (NO2),UHF42,407,Southwest Queens,Summer 2009,6/1/09,18.59
165871,Nitrogen dioxide (NO2),CD,203,Morrisania and Crotona (CD3),Winter 2010-11,12/1/10,30.92
167759,Nitrogen dioxide (NO2),CD,203,Morrisania and Crotona (CD3),Annual Average 2013,12/1/12,22.32
549998,Nitrogen dioxide (NO2),CD,103,Lower East Side and Chinatown (CD3),Annual Average 2017,1/1/17,23.65
172663,Nitrogen dioxide (NO2),UHF34,302,Central Harlem - Morningside Heights,Annual Average 2011,12/1/10,28.23
211670,Nitrogen dioxide (NO2),UHF34,302,Central Harlem - Morningside Heights,Summer 2014,6/1/14,19.54
336664,Nitrogen dioxide (NO2),UHF34,302,Central Harlem - Morningside Heights,Annual Average 2015,1/1/15,23.15
643494,Nitrogen dioxide (NO2),UHF34,302,Central Harlem - Morningside Heights,Winter 2018-19,12/1/18,24.69
549903,Nitrogen dioxide (NO2),UHF34,202,Downtown - Heights - Slope,Winter 2016-17,12/1/16,26.27
602844,Nitrogen dioxide (NO2),UHF34,202,Downtown - Heights - Slope,Summer 2018,6/1/18,16.37
602829,Nitrogen dioxide (NO2),UHF34,101,Kingsbridge - Riverdale,Summer 2018,6/1/18,11.69
549886,Nitrogen dioxide (NO2),UHF34,101,Kingsbridge - Riverdale,Summer 2017,6/1/17,13.02
211757,Nitrogen dioxide (NO2),UHF34,102,Northeast Bronx,Annual Average 2014,12/1/13,18.97
549889,Nitrogen dioxide (NO2),UHF34,102,Northeast Bronx,Summer 2017,6/1/17,14.37
602832,Nitrogen dioxide (NO2),UHF34,102,Northeast Bronx,Summer 2018,6/1/18,13.05
175297,Nitrogen dioxide (NO2),UHF42,107,Hunts Point - Mott Haven,Winter 2009-10,12/1/09,26.48
175381,Nitrogen dioxide (NO2),UHF42,107,Hunts Point - Mott Haven,Winter 2011-12,12/1/11,25.17
211390,Nitrogen dioxide (NO2),Borough,1,Bronx,Annual Average 2014,12/1/13,19.8
336652,Nitrogen dioxide (NO2),UHF34,209,Bensonhurst - Bay Ridge,Annual Average 2015,1/1/15,18.62
643482,Nitrogen dioxide (NO2),UHF34,209,Bensonhurst - Bay Ridge,Winter 2018-19,12/1/18,20.53
667381,Nitrogen dioxide (NO2),UHF34,209,Bensonhurst - Bay Ridge,Annual Average 2020,1/1/20,14.81
172593,Nitrogen dioxide (NO2),UHF34,211,Williamsburg - Bushwick,Annual Average 2009,12/1/08,27.13
172661,Nitrogen dioxide (NO2),UHF34,211,Williamsburg - Bushwick,Annual Average 2011,12/1/10,25.75
336658,Nitrogen dioxide (NO2),UHF34,211,Williamsburg - Bushwick,Annual Average 2015,1/1/15,21.27
211668,Nitrogen dioxide (NO2),UHF34,211,Williamsburg - Bushwick,Summer 2014,6/1/14,17
336709,Nitrogen dioxide (NO2),UHF34,501502,Northern SI,Annual Average 2015,1/1/15,16
643539,Nitrogen dioxide (NO2),UHF34,501502,Northern SI,Winter 2018-19,12/1/18,18.62
667495,Nitrogen dioxide (NO2),UHF34,501502,Northern SI,Annual Average 2020,1/1/20,13.11
549782,Nitrogen dioxide (NO2),UHF42,201,Greenpoint,Annual Average 2017,1/1/17,21.19
740916,Nitrogen dioxide (NO2),UHF42,201,Greenpoint,Annual Average 2021,1/1/21,20.55
175333,Nitrogen dioxide (NO2),UHF42,101,Kingsbridge - Riverdale,Winter 2010-11,12/1/10,25.48
175371,Nitrogen dioxide (NO2),UHF42,501,Port Richmond,Winter 2010-11,12/1/10,27.72
336606,Nitrogen dioxide (NO2),UHF42,501,Port Richmond,Winter 2014-15,12/1/14,22.69
549875,Nitrogen dioxide (NO2),UHF42,501,Port Richmond,Annual Average 2017,1/1/17,16.98
336744,Nitrogen dioxide (NO2),CD,108,Upper East Side (CD8),Winter 2014-15,12/1/14,29.3
741147,Nitrogen dioxide (NO2),CD,108,Upper East Side (CD8),Annual Average 2021,1/1/21,20.37
336750,Nitrogen dioxide (NO2),CD,110,Central Harlem (CD10),Winter 2014-15,12/1/14,26.84
550025,Nitrogen dioxide (NO2),CD,112,Washington Heights and Inwood (CD12),Annual Average 2017,1/1/17,20.14
165890,Nitrogen dioxide (NO2),CD,310,Bay Ridge and Dyker Heights (CD10),Winter 2010-11,12/1/10,29.44
166657,Nitrogen dioxide (NO2),CD,310,Bay Ridge and Dyker Heights (CD10),Summer 2009,6/1/09,20.38
167778,Nitrogen dioxide (NO2),CD,310,Bay Ridge and Dyker Heights (CD10),Annual Average 2013,12/1/12,19.48
336822,Nitrogen dioxide (NO2),CD,310,Bay Ridge and Dyker Heights (CD10),Winter 2014-15,12/1/14,25.17
741225,Nitrogen dioxide (NO2),CD,310,Bay Ridge and Dyker Heights (CD10),Annual Average 2021,1/1/21,16.42
550097,Nitrogen dioxide (NO2),CD,312,Borough Park (CD12),Annual Average 2017,1/1/17,19.03
741231,Nitrogen dioxide (NO2),CD,312,Borough Park (CD12),Annual Average 2021,1/1/21,16.92
549924,Nitrogen dioxide (NO2),UHF34,209,Bensonhurst - Bay Ridge,Winter 2016-17,12/1/16,23.78
602865,Nitrogen dioxide (NO2),UHF34,209,Bensonhurst - Bay Ridge,Summer 2018,6/1/18,11.47
667383,Nitrogen dioxide (NO2),UHF34,209,Bensonhurst - Bay Ridge,Summer 2020,6/1/20,9.8
171607,Nitrogen dioxide (NO2),UHF34,211,Williamsburg - Bushwick,Winter 2009-10,12/1/09,28.63
211770,Nitrogen dioxide (NO2),UHF34,211,Williamsburg - Bushwick,Annual Average 2014,12/1/13,22.2
602871,Nitrogen dioxide (NO2),UHF34,211,Williamsburg - Bushwick,Summer 2018,6/1/18,15.84
549897,Nitrogen dioxide (NO2),UHF34,104,Pelham - Throgs Neck,Winter 2016-17,12/1/16,25.91
211777,Nitrogen dioxide (NO2),UHF34,403,Flushing - Clearview,Annual Average 2014,12/1/13,19.45
667437,Nitrogen dioxide (NO2),UHF34,403,Flushing - Clearview,Summer 2020,6/1/20,11.03
175303,Nitrogen dioxide (NO2),UHF42,206,Borough Park,Winter 2009-10,12/1/09,28.09
175387,Nitrogen dioxide (NO2),UHF42,206,Borough Park,Winter 2011-12,12/1/11,23.5
667221,Nitrogen dioxide (NO2),UHF42,310,Lower Manhattan,Summer 2020,6/1/20,16.58
549841,Nitrogen dioxide (NO2),UHF42,310,Lower Manhattan,Summer 2017,6/1/17,22.95
549843,Nitrogen dioxide (NO2),UHF42,310,Lower Manhattan,Winter 2016-17,12/1/16,30.24
549796,Nitrogen dioxide (NO2),UHF42,206,Borough Park,Summer 2017,6/1/17,13.77
549798,Nitrogen dioxide (NO2),UHF42,206,Borough Park,Winter 2016-17,12/1/16,25.04
175306,Nitrogen dioxide (NO2),UHF42,209,Bensonhurst - Bay Ridge,Winter 2009-10,12/1/09,26.54
602748,Nitrogen dioxide (NO2),UHF42,209,Bensonhurst - Bay Ridge,Summer 2018,6/1/18,11.47
175391,Nitrogen dioxide (NO2),UHF42,210,Coney Island - Sheepshead Bay,Winter 2011-12,12/1/11,19.46
212558,Nitrogen dioxide (NO2),UHF42,210,Coney Island - Sheepshead Bay,Annual Average 2014,12/1/13,17.63
175412,Nitrogen dioxide (NO2),UHF42,410,Rockaways,Winter 2011-12,12/1/11,15.89
549870,Nitrogen dioxide (NO2),UHF42,409,Southeast Queens,Winter 2016-17,12/1/16,24.02
171678,Nitrogen dioxide (NO2),UHF34,303,East Harlem,Winter 2011-12,12/1/11,27.76
171611,Nitrogen dioxide (NO2),UHF34,304,Upper West Side,Winter 2009-10,12/1/09,30.23
171633,Nitrogen dioxide (NO2),UHF34,203,Bedford Stuyvesant - Crown Heights,Winter 2010-11,12/1/10,32.21
172075,Nitrogen dioxide (NO2),UHF34,203,Bedford Stuyvesant - Crown Heights,Summer 2009,6/1/09,23.2
172721,Nitrogen dioxide (NO2),UHF34,203,Bedford Stuyvesant - Crown Heights,Annual Average 2013,12/1/12,22.28
171634,Nitrogen dioxide (NO2),UHF34,204,East New York,Winter 2010-11,12/1/10,30.26
336639,Nitrogen dioxide (NO2),UHF34,204,East New York,Winter 2014-15,12/1/14,24.99
741042,Nitrogen dioxide (NO2),UHF34,204,East New York,Annual Average 2021,1/1/21,16.12
172071,Nitrogen dioxide (NO2),UHF34,103,Fordham - Bronx Pk,Summer 2009,6/1/09,21.15
336624,Nitrogen dioxide (NO2),UHF34,103,Fordham - Bronx Pk,Winter 2014-15,12/1/14,23.33
172718,Nitrogen dioxide (NO2),UHF34,104,Pelham - Throgs Neck,Annual Average 2013,12/1/12,18.58
549896,Nitrogen dioxide (NO2),UHF34,104,Pelham - Throgs Neck,Annual Average 2017,1/1/17,18.72
741084,Nitrogen dioxide (NO2),UHF34,403,Flushing - Clearview,Annual Average 2021,1/1/21,15.66
172742,Nitrogen dioxide (NO2),UHF34,305307,Upper East Side-Gramercy,Annual Average 2013,12/1/12,32.1
172096,Nitrogen dioxide (NO2),UHF34,305307,Upper East Side-Gramercy,Summer 2009,6/1/09,35.65
741102,Nitrogen dioxide (NO2),UHF34,305307,Upper East Side-Gramercy,Annual Average 2021,1/1/21,21.83
172097,Nitrogen dioxide (NO2),UHF34,306308,Chelsea-Village,Summer 2009,6/1/09,35.28
336760,Nitrogen dioxide (NO2),CD,202,Hunts Point and Longwood (CD2),Annual Average 2015,1/1/15,20.85
602688,Nitrogen dioxide (NO2),Borough,1,Bronx,Summer 2018,6/1/18,13.62
667029,Nitrogen dioxide (NO2),Borough,1,Bronx,Summer 2020,6/1/20,13.16
179273,Nitrogen dioxide (NO2),Borough,1,Bronx,Winter 2009-10,12/1/09,24.39
549745,Nitrogen dioxide (NO2),Borough,1,Bronx,Summer 2017,6/1/17,14.97
179284,Nitrogen dioxide (NO2),Borough,2,Brooklyn,Winter 2011-12,12/1/11,23.5
667035,Nitrogen dioxide (NO2),Borough,2,Brooklyn,Summer 2020,6/1/20,10.82
549799,Nitrogen dioxide (NO2),UHF42,207,East Flatbush - Flatbush,Summer 2017,6/1/17,13.75
212556,Nitrogen dioxide (NO2),UHF42,208,Canarsie - Flatlands,Annual Average 2014,12/1/13,17
549802,Nitrogen dioxide (NO2),UHF42,208,Canarsie - Flatlands,Summer 2017,6/1/17,10.26
175325,Nitrogen dioxide (NO2),UHF42,407,Southwest Queens,Winter 2009-10,12/1/09,26.12
549864,Nitrogen dioxide (NO2),UHF42,407,Southwest Queens,Winter 2016-17,12/1/16,24.86
549867,Nitrogen dioxide (NO2),UHF42,408,Jamaica,Winter 2016-17,12/1/16,24.81
602808,Nitrogen dioxide (NO2),UHF42,408,Jamaica,Summer 2018,6/1/18,12.77
211772,Nitrogen dioxide (NO2),UHF34,302,Central Harlem - Morningside Heights,Annual Average 2014,12/1/13,23.86
549934,Nitrogen dioxide (NO2),UHF34,302,Central Harlem - Morningside Heights,Summer 2017,6/1/17,18.89
549936,Nitrogen dioxide (NO2),UHF34,302,Central Harlem - Morningside Heights,Winter 2016-17,12/1/16,28.51
741033,Nitrogen dioxide (NO2),UHF34,201,Greenpoint,Annual Average 2021,1/1/21,20.55
549902,Nitrogen dioxide (NO2),UHF34,202,Downtown - Heights - Slope,Annual Average 2017,1/1/17,21.12
741021,Nitrogen dioxide (NO2),UHF34,101,Kingsbridge - Riverdale,Annual Average 2021,1/1/21,14.77
172070,Nitrogen dioxide (NO2),UHF34,102,Northeast Bronx,Summer 2009,6/1/09,17.94
171628,Nitrogen dioxide (NO2),UHF34,102,Northeast Bronx,Winter 2010-11,12/1/10,25.99
336621,Nitrogen dioxide (NO2),UHF34,102,Northeast Bronx,Winter 2014-15,12/1/14,23.37
336678,Nitrogen dioxide (NO2),UHF34,402,West Queens,Winter 2014-15,12/1/14,26.21
549947,Nitrogen dioxide (NO2),UHF34,402,West Queens,Annual Average 2017,1/1/17,20.56
741081,Nitrogen dioxide (NO2),UHF34,402,West Queens,Annual Average 2021,1/1/21,18.56
171642,Nitrogen dioxide (NO2),UHF34,301,Washington Heights,Winter 2010-11,12/1/10,30.54
167523,Nitrogen dioxide (NO2),CD,203,Morrisania and Crotona (CD3),Annual Average 2009,12/1/08,27.71
167641,Nitrogen dioxide (NO2),CD,203,Morrisania and Crotona (CD3),Annual Average 2011,12/1/10,25.3
167511,Nitrogen dioxide (NO2),CD,103,Lower East Side and Chinatown (CD3),Annual Average 2009,12/1/08,31.8
213402,Nitrogen dioxide (NO2),CD,103,Lower East Side and Chinatown (CD3),Summer 2014,6/1/14,21.27
667531,Nitrogen dioxide (NO2),CD,103,Lower East Side and Chinatown (CD3),Annual Average 2020,1/1/20,19.36
212422,Nitrogen dioxide (NO2),UHF42,107,Hunts Point - Mott Haven,Summer 2014,6/1/14,16.43
643338,Nitrogen dioxide (NO2),UHF42,107,Hunts Point - Mott Haven,Winter 2018-19,12/1/18,24.22
179419,Nitrogen dioxide (NO2),Borough,2,Brooklyn,Annual Average 2009,12/1/08,24.11
172655,Nitrogen dioxide (NO2),UHF34,205,Sunset Park,Annual Average 2011,12/1/10,23.86
667459,Nitrogen dioxide (NO2),UHF34,409,Southeast Queens,Annual Average 2020,1/1/20,13.02
212552,Nitrogen dioxide (NO2),UHF42,204,East New York,Annual Average 2014,12/1/13,19.75
549790,Nitrogen dioxide (NO2),UHF42,204,East New York,Summer 2017,6/1/17,13.39
165863,Nitrogen dioxide (NO2),CD,107,Upper West Side (CD7),Winter 2010-11,12/1/10,33.62
166630,Nitrogen dioxide (NO2),CD,107,Upper West Side (CD7),Summer 2009,6/1/09,28.43
336741,Nitrogen dioxide (NO2),CD,107,Upper West Side (CD7),Winter 2014-15,12/1/14,27.42
602853,Nitrogen dioxide (NO2),UHF34,205,Sunset Park,Summer 2018,6/1/18,14.4
549910,Nitrogen dioxide (NO2),UHF34,205,Sunset Park,Summer 2017,6/1/17,14.14
549976,Nitrogen dioxide (NO2),UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2017,6/1/17,13.08
602919,Nitrogen dioxide (NO2),UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2018,6/1/18,11.98
602712,Nitrogen dioxide (NO2),UHF42,104,Pelham - Throgs Neck,Summer 2018,6/1/18,12.84
667077,Nitrogen dioxide (NO2),UHF42,104,Pelham - Throgs Neck,Summer 2020,6/1/20,12.14
175392,Nitrogen dioxide (NO2),UHF42,211,Williamsburg - Bushwick,Winter 2011-12,12/1/11,26.68
602754,Nitrogen dioxide (NO2),UHF42,211,Williamsburg - Bushwick,Summer 2018,6/1/18,15.84
212426,Nitrogen dioxide (NO2),UHF42,204,East New York,Summer 2014,6/1/14,14.16
336642,Nitrogen dioxide (NO2),UHF34,205,Sunset Park,Winter 2014-15,12/1/14,25.37
549911,Nitrogen dioxide (NO2),UHF34,205,Sunset Park,Annual Average 2017,1/1/17,18.87
741045,Nitrogen dioxide (NO2),UHF34,205,Sunset Park,Annual Average 2021,1/1/21,18.03
336693,Nitrogen dioxide (NO2),UHF34,409,Southeast Queens,Winter 2014-15,12/1/14,22.67
667555,Nitrogen dioxide (NO2),CD,107,Upper West Side (CD7),Annual Average 2020,1/1/20,19.63
167564,Nitrogen dioxide (NO2),CD,414,Rockaway and Broad Channel (CD14),Annual Average 2009,12/1/08,14.55
167682,Nitrogen dioxide (NO2),CD,414,Rockaway and Broad Channel (CD14),Annual Average 2011,12/1/10,14.15
643716,Nitrogen dioxide (NO2),CD,414,Rockaway and Broad Channel (CD14),Winter 2018-19,12/1/18,13.88
667075,Nitrogen dioxide (NO2),UHF42,104,Pelham - Throgs Neck,Annual Average 2020,1/1/20,16.19
176526,Nitrogen dioxide (NO2),UHF42,211,Williamsburg - Bushwick,Annual Average 2009,12/1/08,27.13
176530,Nitrogen dioxide (NO2),UHF42,304,Upper West Side,Annual Average 2009,12/1/08,31.95
176614,Nitrogen dioxide (NO2),UHF42,304,Upper West Side,Annual Average 2011,12/1/10,29.3
212437,Nitrogen dioxide (NO2),UHF42,304,Upper West Side,Summer 2014,6/1/14,20.87
643383,Nitrogen dioxide (NO2),UHF42,304,Upper West Side,Winter 2018-19,12/1/18,25.25
667183,Nitrogen dioxide (NO2),UHF42,304,Upper West Side,Annual Average 2020,1/1/20,19.62
179432,Nitrogen dioxide (NO2),Borough,5,Staten Island,Annual Average 2011,12/1/10,16.17
165922,Nitrogen dioxide (NO2),CD,107,Upper West Side (CD7),Winter 2011-12,12/1/11,28.89
165804,Nitrogen dioxide (NO2),CD,107,Upper West Side (CD7),Winter 2009-10,12/1/09,30.21
172656,Nitrogen dioxide (NO2),UHF34,206,Borough Park,Annual Average 2011,12/1/10,23.32
172658,Nitrogen dioxide (NO2),UHF34,208,Canarsie - Flatlands,Annual Average 2011,12/1/10,19.21
172590,Nitrogen dioxide (NO2),UHF34,208,Canarsie - Flatlands,Annual Average 2009,12/1/08,20.22
336649,Nitrogen dioxide (NO2),UHF34,208,Canarsie - Flatlands,Annual Average 2015,1/1/15,16.52
172666,Nitrogen dioxide (NO2),UHF34,401,Long Island City - Astoria,Annual Average 2011,12/1/10,25.24
172598,Nitrogen dioxide (NO2),UHF34,401,Long Island City - Astoria,Annual Average 2009,12/1/08,26.29
667423,Nitrogen dioxide (NO2),UHF34,401,Long Island City - Astoria,Annual Average 2020,1/1/20,18.94
667507,Nitrogen dioxide (NO2),UHF34,105106107,South Bronx,Annual Average 2020,1/1/20,18.59
643545,Nitrogen dioxide (NO2),UHF34,105106107,South Bronx,Winter 2018-19,12/1/18,23.64
336831,Nitrogen dioxide (NO2),CD,313,Coney Island (CD13),Winter 2014-15,12/1/14,23.05
171602,Nitrogen dioxide (NO2),UHF34,206,Borough Park,Winter 2009-10,12/1/09,28.09
171670,Nitrogen dioxide (NO2),UHF34,206,Borough Park,Winter 2011-12,12/1/11,23.5
171672,Nitrogen dioxide (NO2),UHF34,208,Canarsie - Flatlands,Winter 2011-12,12/1/11,20.3
171685,Nitrogen dioxide (NO2),UHF34,408,Jamaica,Winter 2011-12,12/1/11,22.78
211780,Nitrogen dioxide (NO2),UHF34,408,Jamaica,Annual Average 2014,12/1/13,18.82
602901,Nitrogen dioxide (NO2),UHF34,408,Jamaica,Summer 2018,6/1/18,12.77
549960,Nitrogen dioxide (NO2),UHF34,408,Jamaica,Winter 2016-17,12/1/16,24.81
667455,Nitrogen dioxide (NO2),UHF34,408,Jamaica,Summer 2020,6/1/20,9.35
171680,Nitrogen dioxide (NO2),UHF34,401,Long Island City - Astoria,Winter 2011-12,12/1/11,26.18
549943,Nitrogen dioxide (NO2),UHF34,401,Long Island City - Astoria,Summer 2017,6/1/17,16.21
549987,Nitrogen dioxide (NO2),UHF34,105106107,South Bronx,Winter 2016-17,12/1/16,27.47
667509,Nitrogen dioxide (NO2),UHF34,105106107,South Bronx,Summer 2020,6/1/20,14.49
549985,Nitrogen dioxide (NO2),UHF34,105106107,South Bronx,Summer 2017,6/1/17,16.75
602928,Nitrogen dioxide (NO2),UHF34,105106107,South Bronx,Summer 2018,6/1/18,15.38
172724,Nitrogen dioxide (NO2),UHF34,206,Borough Park,Annual Average 2013,12/1/12,20.23
171638,Nitrogen dioxide (NO2),UHF34,208,Canarsie - Flatlands,Winter 2010-11,12/1/10,26.24
171651,Nitrogen dioxide (NO2),UHF34,408,Jamaica,Winter 2010-11,12/1/10,28.44
172093,Nitrogen dioxide (NO2),UHF34,408,Jamaica,Summer 2009,6/1/09,18.49
167681,Nitrogen dioxide (NO2),CD,413,Queens Village (CD13),Annual Average 2011,12/1/10,19.33
167563,Nitrogen dioxide (NO2),CD,413,Queens Village (CD13),Annual Average 2009,12/1/08,19.92
213454,Nitrogen dioxide (NO2),CD,413,Queens Village (CD13),Summer 2014,6/1/14,12.11
643713,Nitrogen dioxide (NO2),CD,413,Queens Village (CD13),Winter 2018-19,12/1/18,18.04
667045,Nitrogen dioxide (NO2),Borough,4,Queens,Annual Average 2020,1/1/20,14.82
171646,Nitrogen dioxide (NO2),UHF34,401,Long Island City - Astoria,Winter 2010-11,12/1/10,31.48
172088,Nitrogen dioxide (NO2),UHF34,401,Long Island City - Astoria,Summer 2009,6/1/09,21.87
549979,Nitrogen dioxide (NO2),UHF34,501502,Northern SI,Summer 2017,6/1/17,11.34
602922,Nitrogen dioxide (NO2),UHF34,501502,Northern SI,Summer 2018,6/1/18,10.37
667497,Nitrogen dioxide (NO2),UHF34,501502,Northern SI,Summer 2020,6/1/20,8.64
549981,Nitrogen dioxide (NO2),UHF34,501502,Northern SI,Winter 2016-17,12/1/16,20.47
549781,Nitrogen dioxide (NO2),UHF42,201,Greenpoint,Summer 2017,6/1/17,16.36
602703,Nitrogen dioxide (NO2),UHF42,101,Kingsbridge - Riverdale,Summer 2018,6/1/18,11.69
175393,Nitrogen dioxide (NO2),UHF42,301,Washington Heights,Winter 2011-12,12/1/11,25.92
549814,Nitrogen dioxide (NO2),UHF42,301,Washington Heights,Summer 2017,6/1/17,16.69
549844,Nitrogen dioxide (NO2),UHF42,401,Long Island City - Astoria,Summer 2017,6/1/17,16.21
741057,Nitrogen dioxide (NO2),UHF34,209,Bensonhurst - Bay Ridge,Annual Average 2021,1/1/21,16.03
172083,Nitrogen dioxide (NO2),UHF34,211,Williamsburg - Bushwick,Summer 2009,6/1/09,23.14
741063,Nitrogen dioxide (NO2),UHF34,211,Williamsburg - Bushwick,Annual Average 2021,1/1/21,19.04
336711,Nitrogen dioxide (NO2),UHF34,501502,Northern SI,Winter 2014-15,12/1/14,21.77
549980,Nitrogen dioxide (NO2),UHF34,501502,Northern SI,Annual Average 2017,1/1/17,15.45
741114,Nitrogen dioxide (NO2),UHF34,501502,Northern SI,Annual Average 2021,1/1/21,14.76
336742,Nitrogen dioxide (NO2),CD,108,Upper East Side (CD8),Annual Average 2015,1/1/15,25.77
643572,Nitrogen dioxide (NO2),CD,108,Upper East Side (CD8),Winter 2018-19,12/1/18,26.54
336748,Nitrogen dioxide (NO2),CD,110,Central Harlem (CD10),Annual Average 2015,1/1/15,23.25
213411,Nitrogen dioxide (NO2),CD,112,Washington Heights and Inwood (CD12),Summer 2014,6/1/14,16.63
167542,Nitrogen dioxide (NO2),CD,310,Bay Ridge and Dyker Heights (CD10),Annual Average 2009,12/1/08,23.62
336820,Nitrogen dioxide (NO2),CD,310,Bay Ridge and Dyker Heights (CD10),Annual Average 2015,1/1/15,19.16
167530,Nitrogen dioxide (NO2),CD,210,Throgs Neck and Co-op City (CD10),Annual Average 2009,12/1/08,21.33
